AAS  198	Directed Group Study           [001] (Chapman)
MAE  199	Independent Study/Undergrads   [003] (Kleissl)
MAE  199	Independent Study/Undergrads   [004] (Pawlak)
MAE  199	Independent Study/Undergrads   [005] (Gravish)
MAE  205	Graduate Seminar               [A00] (McEneaney)
MAE  207	Topics in Engineering Science  [A00] (Talke)
MAE  207	Topics in Engineering Science  [B00] (Beg)
MAE  207	Topics in Engineering Science  [C00] (Markenscoff)
MAE  208	Mathematics for Engineers      [A00] (Rangamani)
MAE  209	Cont Mechnc Appld to Med/Biogy [A00] (Rangamani)
MAE  210A	Fluid Mechanics I              [A00] (Krasheninnikov)
MAE  212	Introductory Compressible Flow [A00] (Cattolica)
MAE  221A	Heat Transfer                  [A00] (Liu)
MAE  232A	Finite Elemnt in Solid Mech I  [A00] (Bazilevs)
MAE  235	Computational Tech/Finite Elmn [A00] (Krysl)
MAE  251	Structure & Analysis of Solids [A00] (Graeve)
MAE  265A	Elect&Photon Props. Materials  [A00] (Bandaru)
MAE  271A	Thermodynamics of Solids       [A00] (Luo)
MAE  277A	Complexity & Large
MAE  280A	Linear Systems Theory          [A00] (Bitmead)
MAE  283A	Parametric Ident/Theory&Method [A00] (de Callafon)
MAE  290A	Eff Numerical Meth/Simul/Optim [B00] (Del Alamo)
MAE  294A	Intro to Applied Mathematics   [A00] (Llewellyn Smith)
MAE  295	Field Study                    [A00] (Graeve)
MAE  295	Field Study                    [B00] (Talke)
MAE  296	Independent Study              [001] (Pisano)
MAE  296	Independent Study              [002] (Friend)
MAE  298	Direct Group Study             [001] (Pisano)
MAE  299	Graduate Research              [001] (Bandaru)
MAE  299	Graduate Research              [002] (Beg)
MAE  299	Graduate Research              [003] (Bewley)
MAE  299	Graduate Research              [004] (Bitmead)
MAE  299	Graduate Research              [005] (Cai)
MAE  299	Graduate Research              [006] (Chen)
MAE  299	Graduate Research              [007] (Coimbra)
MAE  299	Graduate Research              [008] (Cortes)
MAE  299	Graduate Research              [009] (de Callafon)
MAE  299	Graduate Research              [010] (de Oliveira)
MAE  299	Graduate Research              [011] (Delson)
MAE  299	Graduate Research              [012] (Del Alamo)
MAE  299	Graduate Research              [013] (Friend)
MAE  299	Graduate Research              [014] (Garay)
MAE  299	Graduate Research              [015] (Graeve)
MAE  299	Graduate Research              [016] (Gravish)
MAE  299	Graduate Research              [017] (Kleissl)
MAE  299	Graduate Research              [018] (Kosmatka)
MAE  299	Graduate Research              [019] (Krasheninnikov)
MAE  299	Graduate Research              [020] (Krstic)
MAE  299	Graduate Research              [021] (Lal)
MAE  299	Graduate Research              [022] (Llewellyn Smith)
MAE  299	Graduate Research              [023] (Martinez)
MAE  299	Graduate Research              [024] (McEneaney)
MAE  299	Graduate Research              [025] (McKittrick)
MAE  299	Graduate Research              [026] (Meyers)
MAE  299	Graduate Research              [027] (Murakami)
MAE  299	Graduate Research              [028] (Najmabadi)
MAE  299	Graduate Research              [029] (Nemat
MAE  299	Graduate Research              [030] (Nesterenko)
MAE  299	Graduate Research              [031] (Nomura)
MAE  299	Graduate Research              [032] (Pawlak)
MAE  299	Graduate Research              [033] (Pisano)
MAE  299	Graduate Research              [034] (Rangamani)
MAE  299	Graduate Research              [035] (Saintillan)
MAE  299	Graduate Research              [036] (Sanchez)
MAE  299	Graduate Research              [037] (Sarkar)
MAE  299	Graduate Research              [038] (Seshadri)
MAE  299	Graduate Research              [039] (Talke)
MAE  299	Graduate Research              [040] (Tartakovsky)
MAE  299	Graduate Research              [041] (Tolley)
MAE  299	Graduate Research              [042] (Tynan)
MAE  299	Graduate Research              [043] (Arefiev)
MATH   2	Intro to College Mathematics   [A00] (Um)
MATH   2	Intro to College Mathematics   [B00] (Harel)
MATH   3C	Precalculus                    [A00] (Staff)
MATH   3C	Precalculus                    [B00] (Staff)
MATH   4C	Pre
MATH  10A	Calculus I                     [A00] (Stevens)
MATH  10A	Calculus I                     [B00] (Cloninger)
MATH  10A	Calculus I                     [C00] (Tucker)
MATH  10B	Calculus II                    [A00] (Staff)
MATH  10B	Calculus II                    [B00] (Quarfoot)
MATH  10C	Calculus III                   [A00] (Oprea)
MATH  10C	Calculus III                   [B00] (Staff)
MATH  11	Calculus
MATH  11	Calculus
MATH  18	Linear Algebra                 [A00] (Staff)
MATH  18	Linear Algebra                 [B00] (Stevens)
MATH  18	Linear Algebra                 [C00] (Charlesworth)
MATH  18	Linear Algebra                 [D00] (Snellman Jr.)
MATH  18	Linear Algebra                 [E00] (Knop)
MATH  20A	Calculus/Science & Engineering [A00] (Eggers)
MATH  20A	Calculus/Science & Engineering [B00] (Xiao)
MATH  20A	Calculus/Science & Engineering [C00] (Suk)
MATH  20A	Calculus/Science & Engineering [D00] (Staff)
MATH  20B	Calculus/Science & Engineering [A00] (Staff)
MATH  20B	Calculus/Science & Engineering [B00] (Carter)
MATH  20B	Calculus/Science & Engineering [C00] (Bowers)
MATH  20B	Calculus/Science & Engineering [E00] (Quarfoot)
MATH  20C	Calculus&Analyt Geom/Sci&Engnr [A00] (Staff)
MATH  20C	Calculus&Analyt Geom/Sci&Engnr [B00] (Staff)
MATH  20C	Calculus&Analyt Geom/Sci&Engnr [C00] (Buskin)
MATH  20C	Calculus&Analyt Geom/Sci&Engnr [D00] (Um)
MATH  20C	Calculus&Analyt Geom/Sci&Engnr [E00] (Staff)
MATH  20C	Calculus&Analyt Geom/Sci&Engnr [F00] (Staff)
MATH  20D	Intro/Differential Equations   [A00] (Dewey)
MATH  20D	Intro/Differential Equations   [B00] (Bowers)
MATH  20D	Intro/Differential Equations   [C00] (Snellman Jr.)
MATH  20D	Intro/Differential Equations   [D00] (Huynh)
MATH  20E	Vector Calculus                [A00] (Staff)
MATH  20E	Vector Calculus                [B00] (Roberts)
MATH  20E	Vector Calculus                [C00] (Staff)
MATH  31AH	Honors Linear Algebra          [A00] (Rogalski)
MATH  87	Freshman Seminar               [A00] (Bunch)
MATH  87	Freshman Seminar               [B00] (Wulbert)
MATH  87	Freshman Seminar               [C00] (Harel)
MATH  96	Putnam Seminar                 [A00] (Kane)
MATH 100A	Abstract Algebra I             [A00] (Kedlaya)
MATH 100A	Abstract Algebra I             [B00] (Staff)
MATH 102	Applied Linear Algebra         [A00] (Novak)
MATH 102	Applied Linear Algebra         [B00] (Licht)
MATH 103A	Modern Algebra I               [A00] (Sorensen)
MATH 103A	Modern Algebra I               [B00] (Novak)
MATH 104A	Number Theory I                [B00] (McKernan)
MATH 109	Mathematical Reasoning         [A00] (Staff)
MATH 109	Mathematical Reasoning         [B00] (Mohammadi)
MATH 109	Mathematical Reasoning         [C00] (Xiao)
MATH 109	Mathematical Reasoning         [D00] (Buskin)
MATH 109	Mathematical Reasoning         [E00] (Ioana)
MATH 110A	Intro/Partial Differ Equations [A00] (Zlatos)
MATH 111A	Mathematical Modeling I        [A00] (Meyer)
MATH 111A	Mathematical Modeling I        [B00] (Meyer)
MATH 120A	Elements of Complex Analysis   [A00] (Rabin)
MATH 130A	Ordinary Differntl Equation I  [A00] (Sterbenz)
MATH 140A	Foundations of Real Analysis I [A00] (Mohammadi)
MATH 140A	Foundations of Real Analysis I [B00] (Elgindi)
MATH 142A	Introduction to Analysis I     [A00] (Eggers)
MATH 142A	Introduction to Analysis I     [B00] (Bejenaru)
MATH 142A	Introduction to Analysis I     [C00] (Charlesworth)
MATH 153	Geometry for Secondary Teacher [A00] (Harel)
MATH 170A	Intro Numerical Analys/Linear  [A00] (Dilts)
MATH 170A	Intro Numerical Analys/Linear  [B00] (Cheng)
MATH 174	Numericl Methods/Physcl Modlng [A00] (Cheng)
MATH 180A	Introduction to Probability    [A00] (Zhang)
MATH 180A	Introduction to Probability    [B00] (Schweinsberg)
MATH 180A	Introduction to Probability    [C00] (Aghajani)
MATH 181B	Intro/Math Statistics II       [A00] (Bradic)
MATH 181C	Math Statistics
MATH 183	Statistical Methods            [A00] (Aamari)
MATH 184A	Combinatorics                  [A00] (Rhoades)
MATH 184A	Combinatorics                  [B00] (Tesler)
MATH 196	Student Colloquium             [A00] (Leok)
MATH 197	Mathematics Internship         [001] (Arias
MATH 199	Independent Study/Undergrad    [001] (Bradic)
MATH 199	Independent Study/Undergrad    [002] (Staff)
MATH 199	Independent Study/Undergrad    [003] (Staff)
MATH 199H	Honors/Thesis Resrch/Undergrad [001] (Rogalski)
MATH 199H	Honors/Thesis Resrch/Undergrad [002] (Buss)
MATH 199H	Honors/Thesis Resrch/Undergrad [003] (Staff)
MATH 200A	Algebra                        [A00] (Salehi Golsefidy)
MATH 202A	Applied Algebra I              [A00] (Nie)
MATH 203A	Algebraic Geometry             [B00] (Oprea)
MATH 204A	Number Theory I                [A00] (Sorensen)
MATH 205	Topics in Number Theory        [A00] (Gross)
MATH 206A	Topics in Algebraic Geometry   [A00] (McKernan)
MATH 209	Seminar in Number Theory       [A00] (Sorensen)
MATH 210A	Math Meth/Physics&Engineering  [A00] (Li)
MATH 220A	Complex Analysis               [A00] (Agler)
MATH 240A	Real Analysis                  [A00] (Ioana)
MATH 241A	Functional Analysis            [A00] (Agler)
MATH 242	Topics in Fourier Analysis     [A00] (Bejenaru)
MATH 243	Seminar in Operator Algebras   [A00] (Ioana)
MATH 248	Seminar in Real Analysis       [A00] (Zlatos)
MATH 250A	Differential Geometry          [A00] (Izadi)
MATH 258	Seminar/Differential Geometry  [A00] (Ni)
MATH 261A	ProblstcCombintrcs&Algorthm    [A00] (Verstraete)
MATH 262A	Topics in Combinatorial Math   [A00] (Rhoades)
MATH 262A	Topics in Combinatorial Math   [B00] (Garsia)
MATH 269	Seminar in Combinatorics       [A00] (Remmel)
MATH 270A	Numerical Linear Algebra       [A00] (Bank)
MATH 271A	Numerical Optimization         [A00] (Gill)
MATH 273A	AdvTech/Computational Math I   [A00] (Leok)
MATH 274	Numericl Methods/Physcl Modlng [A00] (Cheng)
MATH 277A	Topics in Comp&Applied Math    [A00] (Nie)
MATH 278A	Seminar/Computatl&Applied Math [A00] (Holst)
MATH 278B	Seminar/Mathmaticl Physics/PDE [A00] (Holst)
MATH 278C	Seminar/Optimization           [A00] (Nie)
MATH 280A	Probability Theory I           [A00] (Zheng)
MATH 281A	Mathematical Statistics        [A00] (Abramson)
MATH 282A	Applied Statistics I           [A00] (Politis)
MATH 283	Stat Methods in Bioinformatics [A00] (Tesler)
MATH 288	Seminar/Probability&Statistics [A00] (Zheng)
MATH 288	Seminar/Probability&Statistics [B00] (Bradic)
MATH 288	Seminar/Probability&Statistics [C00] (Li)
MATH 289A	Topics/Probability&Stats       [A00] (Williams)
MATH 290A	Topology                       [A00] (Roberts)
MATH 292	Seminar In Topology            [A00] (Roberts)
MATH 295	Special Topics in Mathematics  [A00] (Bejenaru)
MATH 297	Math Grad Research Internship  [001] (Gamst)
MATH 299	Reading and Research           [001] (Abramson)
MATH 299	Reading and Research           [002] (Agler)
MATH 299	Reading and Research           [003] (Arias
MATH 299	Reading and Research           [004] (Bank)
MATH 299	Reading and Research           [005] (Bejenaru)
MATH 299	Reading and Research           [006] (Bradic)
MATH 299	Reading and Research           [007] (Bucur)
MATH 299	Reading and Research           [008] (Buss)
MATH 299	Reading and Research           [009] (Cheng)
MATH 299	Reading and Research           [010] (Chow)
MATH 299	Reading and Research           [011] (Driver)
MATH 299	Reading and Research           [012] (Ebenfelt)
MATH 299	Reading and Research           [013] (Fitzsimmons)
MATH 299	Reading and Research           [014] (Gill)
MATH 299	Reading and Research           [016] (Harel)
MATH 299	Reading and Research           [017] (Holst)
MATH 299	Reading and Research           [018] (Ioana)
MATH 299	Reading and Research           [019] (Izadi)
MATH 299	Reading and Research           [020] (Kane)
MATH 299	Reading and Research           [021] (Kedlaya)
MATH 299	Reading and Research           [022] (Kemp)
MATH 299	Reading and Research           [023] (Leok)
MATH 299	Reading and Research           [024] (Li)
MATH 299	Reading and Research           [025] (McKernan)
MATH 299	Reading and Research           [026] (Meyer)
MATH 299	Reading and Research           [027] (Mohammadi)
MATH 299	Reading and Research           [028] (Ni)
MATH 299	Reading and Research           [029] (Nie)
MATH 299	Reading and Research           [030] (Novak)
MATH 299	Reading and Research           [031] (Oprea)
MATH 299	Reading and Research           [032] (Pelayo)
MATH 299	Reading and Research           [033] (Politis)
MATH 299	Reading and Research           [034] (Popescu)
MATH 299	Reading and Research           [035] (Rabin)
MATH 299	Reading and Research           [036] (Remmel)
MATH 299	Reading and Research           [037] (Rhoades)
MATH 299	Reading and Research           [038] (Roberts)
MATH 299	Reading and Research           [039] (Rogalski)
MATH 299	Reading and Research           [040] (Saab)
MATH 299	Reading and Research           [041] (Salehi Golsefidy)
MATH 299	Reading and Research           [042] (Schweinsberg)
MATH 299	Reading and Research           [043] (Sorensen)
MATH 299	Reading and Research           [044] (Sterbenz)
MATH 299	Reading and Research           [045] (Tesler)
MATH 299	Reading and Research           [046] (Verstraete)
MATH 299	Reading and Research           [047] (Wenzl)
MATH 299	Reading and Research           [048] (Williams)
MATH 299	Reading and Research           [049] (Xu)
MATH 299	Reading and Research           [050] (Zelmanov)
MATH 299	Reading and Research           [051] (Zheng)
MATH 299	Reading and Research           [052] (Zlatos)
MATH 299	Reading and Research           [053] (Garsia)
MATH 299	Reading and Research           [054] (Graham)
MATH 299	Reading and Research           [055] (Helton)
MATH 500	Apprentice Teaching            [A00] (Verstraete)
MATS 200	Graduate Seminar               [A00] (Bandaru)
MATS 201A	Thermodynamics of Solids       [A00] (Luo)
MATS 227	Structure & Analysis of Solids [A00] (Graeve)
MATS 251A	Elect&Photon Props. Materials  [A00] (Bandaru)
MATS 257	PolymerScience&Engineering     [A00] (Cai)
MATS 295	Research Conference            [A00] (Talbot)
MATS 295	Research Conference            [B00] (Yu)
MATS 295	Research Conference            [C00] (Bandaru)
MATS 295	Research Conference            [D00] (Nesterenko)
MATS 295	Research Conference            [E00] (Vecchio)
MATS 295	Research Conference            [F00] (McKittrick)
MATS 295	Research Conference            [G00] (Schuller)
MATS 295	Research Conference            [H00] (Maple)
MATS 295	Research Conference            [I00] (Graeve)
MATS 296	Independent Study              [001] (Maple)
MATS 296	Independent Study              [002] (Sailor)
MATS 296	Independent Study              [003] (Vecchio)
MATS 296	Independent Study              [004] (Meyers)
MATS 296	Independent Study              [005] (Schuller)
MATS 296	Independent Study              [006] (Talbot)
MATS 296	Independent Study              [007] (Nesterenko)
MATS 299	Graduate Research              [001] (Schuller)
MATS 299	Graduate Research              [002] (Vecchio)
MATS 299	Graduate Research              [003] (Qiao)
MATS 299	Graduate Research              [004] (Nesterenko)
MATS 299	Graduate Research              [005] (Talbot)
MATS 299	Graduate Research              [006] (Esener)
MATS 299	Graduate Research              [007] (Maple)
MATS 299	Graduate Research              [008] (Almutairi)
MATS 299	Graduate Research              [009] (Meyers)
MATS 299	Graduate Research              [010] (Bandaru)
MATS 299	Graduate Research              [011] (Meng)
MATS 299	Graduate Research              [012] (Tauber)
MATS 299	Graduate Research              [013] (Varghese)
MATS 299	Graduate Research              [014] (Huang)
MATS 299	Graduate Research              [015] (Xiang)
MATS 299	Graduate Research              [016] (Tao)
MATS 299	Graduate Research              [017] (Sirbuly)
MATS 299	Graduate Research              [018] (McKittrick)
MATS 299	Graduate Research              [019] (Mattrey)
MATS 299	Graduate Research              [020] (Lal)
MATS 299	Graduate Research              [021] (Dynes)
MATS 299	Graduate Research              [022] (Tu)
MATS 299	Graduate Research              [023] (Chen)
MATS 299	Graduate Research              [024] (Seracini)
MATS 299	Graduate Research              [025] (Coimbra)
MATS 299	Graduate Research              [026] (Engler)
MATS 299	Graduate Research              [027] (Wang)
MATS 299	Graduate Research              [028] (Tartakovsky)
MATS 299	Graduate Research              [029] (Sailor)
MATS 299	Graduate Research              [030] (Luo)
MATS 299	Graduate Research              [031] (Graeve)
MATS 299	Graduate Research              [032] (Sah)
MATS 299	Graduate Research              [033] (Rosing)
MATS 299	Graduate Research              [034] (Wang)
MATS 299	Graduate Research              [035] (Kummel)
MATS 299	Graduate Research              [036] (Kubiak)
MATS 299	Graduate Research              [037] (Cai)
MATS 299	Graduate Research              [038] (Gianneschi)
MATS 299	Graduate Research              [039] (Chen)
MATS 299	Graduate Research              [040] (Rinehart)
MATS 299	Graduate Research              [041] (Arya)
MATS 299	Graduate Research              [042] (Lomakin)
MATS 299	Graduate Research              [043] (Yang)
MATS 299	Graduate Research              [044] (Friend)
MATS 299	Graduate Research              [045] (Xu)
MATS 299	Graduate Research              [046] (Dayeh)
MATS 299	Graduate Research              [047] (Liu)
MATS 299	Graduate Research              [048] (Schimpf)
MATS 299	Graduate Research              [049] (Garay)
MATS 299	Graduate Research              [050] (Ng)
MATS 299	Graduate Research              [051] (Loh)
MATS 299	Graduate Research              [052] (Ong)
MATS 299	Graduate Research              [053] (Vazquez Mena)
MATS 299	Graduate Research              [054] (Fenning)
MATS 299	Graduate Research              [055] (Fullerton)
MATS 299	Graduate Research              [056] (Lo)
MBC  258	MAS
MCWP  40	Critical Writing               [001] (Wastal)
MCWP  40	Critical Writing               [002] (Wastal)
MCWP  40	Critical Writing               [003] (Wastal)
